,Genre,Gross,actors,directors,producers,rel_date,title,writers
576,Romantic Comedy,3743700,Daniel Radcliffe/Zoe Kazan,Michael Dowse,,2014-08-08,What If,
577,Sci-Fi Thriller,27554000,Charlie Sheen,David Twohy,Ted Field,1996-05-31,The Arrival,David Twohy
578,Drama / Thriller,48069500,Saoirse Ronan/Mark Wahlberg/Rachel Weisz/Susan Sarandon/Stanley Tucci,Peter Jackson,Steven Spielberg/Fran Walsh,2009-12-11,The Lovely Bones,Philippa Boyens/Fran Walsh
579,Comedy,39608600,Adam Sandler/Andy Samberg/Leighton Meester/Susan Sarandon,Sean Anders,Jack Giarraputo/Tim Herlihy/Heather Parry/Adam Sandler,2012-06-15,That's My Boy,David Caspe
580,Comedy / Drama,23527700,Ian Holm/Stanley Tucci,Stanley Tucci,,1996-09-20,Big Night,
581,Thriller,36494300,Benicio Del Toro/Robert DeNiro/Wesley Snipes/John Leguizamo,Tony Scott,,1996-08-16,The Fan,
582,Comedy,147680000,Reese Witherspoon/Luke Wilson/Jennifer Coolidge/Ali Larter,Robert Luketic,Marc Platt,2001-07-13,Legally Blonde,Karen McCullah Lutz/Kirsten Smith
583,Romantic Comedy,4613400,Woody Allen/Christina Ricci/Danny DeVito,Woody Allen,,2003-09-19,Anything Else,Woody Allen
584,Action / Adventure,200691800,Angelina Jolie/Jon Voight/Daniel Craig,Simon West,Lawrence Gordon/Lloyd Levin/Colin Wilson,2001-06-15,Lara Croft: Tomb Raider,
585,Animation,85310900,Andy Serkis/Hugh Jackman/Kate Winslet/Ian McKellen,David Bowers/Sam Fell,Peter Lord,2006-11-03,Flushed Away,
586,Action,146318500,Hugh Jackman,James Mangold,Lauren Schuler Donner/Hugh Jackman/Stan Lee/Hutch Parker,2013-07-26,The Wolverine,Mark Bomback/Scott Frank
587,Fantasy Drama,93228200,Marion Cotillard/Ewan McGregor/Helena Bonham Carter/Billy Crudup/Danny DeVito,Tim Burton,,2003-12-10,Big Fish,John August
588,Comedy / Drama,6186300,Adrien Brody/Ben Foster,Barry Levinson,Barry Levinson,1999-11-19,Liberty Heights,Barry Levinson
589,Drama,5358100,Greg Kinnear,Marc Abraham,Gary Barber/Roger Birnbaum/J. Miles Dale/Jonathan Glickman/Eric Newman,2008-10-03,Flash of Genius,
590,Crime Thriller,22500,Diane Lane/Thomas Jane/Joseph Gordon-Levitt/Mickey Rourke/Rosario Dawson/Johnny Knoxville,John Madden,Lawrence Bender,2009-01-23,Killshot,Hossein Amini
591,Comedy,116330400,Melissa McCarthy/Jason Statham/Jude Law/Rose Byrne/50 Cent,Paul Feig,Peter Chernin/Paul Feig,2015-06-05,Spy,Paul Feig
592,Thriller,143357600,Mel Gibson/Julia Roberts/Patrick Stewart,Richard Donner,Joel Silver/Jim Van Wyck,1997-08-08,Conspiracy Theory,Brian Helgeland
593,Thriller,45056500,Kevin Kline/Kevin Spacey/Forest Whitaker,Alan J. Pakula,Pieter Jan Brugge,1992-10-16,Consenting Adults,
594,Drama,53346000,John Krasinski,Michael Bay,,2016-01-15,13 Hours: The Secret Soldiers of Benghazi,
595,Drama / Thriller,8037900,Robert Redford/Helen Mirren/Willem Dafoe,Pieter Jan Brugge,Pieter Jan Brugge/Jonah Smith,2004-07-02,The Clearing,Pieter Jan Brugge*/Justin Haythe
596,Period Comedy,51722600,Keira Knightley/Judi Dench/Jena Malone/Carey Mulligan/Rosamund Pike,Joe Wright,Tim Bevan/Eric Fellner,2005-11-11,Pride and Prejudice,
597,Drama,2444500,Michael Caine,John Crowley,,2009-04-17,Is Anybody There?,
598,Period Adventure,389474000,Johnny Depp/Orlando Bloom/Keira Knightley/Geoffrey Rush/Jack Davenport/Jonathan Pryce/Stellan Skarsgard/Naomie Harris,Gore Verbinski,Jerry Bruckheimer,2007-05-25,Pirates of the Caribbean: At World's End,Ted Elliott/Terry Rossio
599,Horror Comedy,252280400,Shawn Wayans/Marlon Wayans/Anna Faris/Regina Hall,Keenen Ivory Wayans,Brad Grey/Lee R. Mayes/Peter Safran,2000-07-07,Scary Movie,Jason Friedberg/Aaron Seltzer
600,Sports Comedy,296264000,Adam Sandler/Kathy Bates,Frank Coraci,Jack Giarraputo/Adam Sandler/Robert Simonds,1998-11-06,The Waterboy,Tim Herlihy/Adam Sandler
601,Drama,176700,Philip Seymour Hoffman,John Slattery,Dean Devlin,2014-05-09,God's Pocket,
602,Thriller,112606600,Daniel Craig/Rooney Mara/Christopher Plummer/Stellan Skarsgard,David Fincher,Cean Chaffin/Ryan Kavanaugh/Scott Rudin/Steven Zaillian,2011-12-21,The Girl with the Dragon Tattoo,Steven Zaillian
603,Horror,339800,Stellan Skarsgard,Paul Schrader,James G. Robinson,2005-05-20,Dominion: Prequel to the Exorcist,
604,War,6910900,Christian Bale,Werner Herzog,,2007-07-04,Rescue Dawn,Werner Herzog
605,Drama,10180300,Gwyneth Paltrow/Anthony Hopkins/Jake Gyllenhaal,John Madden,James D. Stern,2005-09-16,Proof,
606,Drama,97888600,Jim Sturgess/Kevin Spacey/Kate Bosworth/Laurence Fishburne/Josh Gad,Robert Luketic,Dana Brunetti/Michael De Luca/Ryan Kavanaugh,2008-03-28,21,Allan Loeb
607,Action Thriller,65134800,Hugh Jackman/Jake Gyllenhaal/Viola Davis/Maria Bello/Terrence Howard/Melissa Leo/Paul Dano,Denis Villeneuve,Broderick Johnson/Andrew A. Kosove/Stephen Levinson,2013-09-20,Prisoners,Aaron Guzikowski
608,Comedy / Drama,42269900,Jonah Hill/Miles Teller,Todd Phillips,,2016-08-19,War Dogs,
609,Comedy,32232300,Jennifer Aniston/Kate Hudson/Timothy Olyphant/Julia Roberts/Jason Sudeikis,Garry Marshall,,2016-04-29,Mother's Day,
610,Drama / Thriller,208900,Christian Bale/Jim Broadbent/Robin Williams,Christopher Hampton,,1996-11-08,The Secret Agent,Christopher Hampton
611,Comedy / Drama,171900,Clark Gregg,Tod Williams,,1999-08-06,The Adventures of Sebastian Cole,Tod Williams
612,Fantasy Comedy,48618200,Robin Williams,Barry Levinson,Mark Johnson/Barry Levinson,1992-12-18,Toys,Barry Levinson
613,Sci-Fi,29167700,Tom Hanks/Halle Berry/Jim Broadbent/Hugo Weaving/Jim Sturgess/Ben Whishaw/Susan Sarandon/Hugh Grant,Tom Tykwer/Lilly &amp; Lana Wachowski,Tom Tykwer/Lilly &amp; Lana Wachowski,2012-10-26,Cloud Atlas,Tom Tykwer/Lilly &amp; Lana Wachowski
614,Period Drama,2211400,Ralph Fiennes,James Ivory,,2005-12-21,The White Countess,
615,Comedy / Drama,4799200,Philip Seymour Hoffman,Todd Solondz,Ted Hope,1998-10-16,Happiness,Todd Solondz
616,Animation,186173300,Jay Baruchel/Gerard Butler/America Ferrera/Jonah Hill/Christopher Mintz-Plasse/Kristen Wiig/Cate Blanchett,Dean DeBlois,Dean DeBlois/Chris Sanders,2014-06-13,How to Train Your Dragon 2,Dean DeBlois
617,Fantasy,272920700,Martin Freeman/Ian McKellen/Orlando Bloom/Evangeline Lilly/Benedict Cumberbatch,Peter Jackson,Peter Jackson/Fran Walsh,2013-12-13,The Hobbit: The Desolation of Smaug,Philippa Boyens/Guillermo del Toro/Peter Jackson/Fran Walsh
618,Unknown,517900,Gena Rowlands/Marisa Tomei,Nick Cassavetes,,1996-11-01,Unhook the Stars,
619,Sci-Fi,111955900,Brad Pitt/Bruce Willis,Terry Gilliam,Charles Roven,1995-12-29,12 Monkeys,
620,Drama / Thriller,63921800,Leonardo DiCaprio/Tilda Swinton,Danny Boyle,,2000-02-11,The Beach,
621,Sports Comedy,35579700,Jeff Bridges/Kellan Lutz,Jessica Bendinger,Gary Barber/Roger Birnbaum/Jonathan Glickman/Gail Lyon,2006-04-28,Stick It,Jessica Bendinger
622,Action Comedy,91708000,Kevin Hart/Ice Cube/Benjamin Bratt/Tyrese Gibson,Tim Story,Ice Cube/Will Packer,2016-01-15,Ride Along 2,Phil Hay/Matt Manfredi
623,Drama,46484200,Winona Ryder/Angelina Jolie/Brittany Murphy/Elisabeth Moss,James Mangold,Cathy Konrad/Douglas Wick,1999-12-21,"Girl, Interrupted",James Mangold
624,Period Drama,22502700,James Purefoy/Reese Witherspoon/Romola Garai/Rhys Ifans/Jim Broadbent/Jonathan Rhys Meyers,Mira Nair,,2004-09-01,Vanity Fair,
625,Period Drama,4667400,Kate Beckinsale/Uma Thurman,James Ivory,,2001-04-27,The Golden Bowl,Ruth Prawer Jhabvala
626,Drama,40352600,Alex Kendrick,Alex Kendrick,Alex Kendrick/Stephen Kendrick,2008-09-26,Fireproof,Alex Kendrick/Stephen Kendrick
627,Thriller,25849100,Rob Lowe,Curtis Hanson,Bernie Goldmann/Steve Tisch,1990-03-09,Bad Influence,David Koepp
628,Comedy Thriller,22989500,Sam Rockwell/Drew Barrymore/George Clooney/Julia Roberts/Rutger Hauer,George Clooney,Andrew Lazar/Steven Soderbergh,2002-12-31,Confessions of a Dangerous Mind,Charlie Kaufman
629,Romantic Comedy,3893700,Zach Braff/Amanda Peet/Jason Bateman,Jesse Peretz,Ted Hope,2007-05-11,The Ex,David Guion/Michael Handelman
630,Drama,2516600,Guy Pearce,John Hillcoat,,2006-05-05,The Proposition,Nick Cave
631,Foreign,13455000,Penelope Cruz,Pedro Almodovar,,1999-11-05,All About My Mother,Pedro Almodovar
632,Adventure,134996800,Suraj Sharma/Irrfan Khan,Ang Lee,Ang Lee,2012-11-21,Life of Pi,David Magee
633,Period Drama,250500,Helen Mirren/Andy Serkis,Rowan Joffe,,2011-08-26,Brighton Rock,Rowan Joffe
634,Foreign,8368000,Antonio Banderas,Pedro Almodovar,,1990-05-04,Tie Me Up! Tie Me Down!,Pedro Almodovar
635,Action Horror,74621200,Kate Beckinsale/Michael Sheen,Len Wiseman,Gary Lucchesi/Tom Rosenberg/Richard Wright,2003-09-19,Underworld,
636,Documentary,80445400,Justin Bieber,Jon Chu,Scooter Braun,2011-02-11,Justin Bieber: Never Say Never,
637,Action,44912500,Keanu Reeves/Adrianne Palicki/Willem Dafoe/Michael Nyqvist/Bridget Moynahan/Lance Reddick,David Leitch/Chad Stahelski,David Leitch/Keanu Reeves/Chad Stahelski/Mike Witherill,2014-10-24,John Wick,Derek Kolstad
638,Music Drama,70795800,Val Kilmer/Meg Ryan,Oliver Stone,Brian Grazer,1991-03-01,The Doors,
639,Comedy / Drama,92947400,George Clooney/Vera Farmiga/Anna Kendrick/Jason Bateman/Danny McBride,Jason Reitman,Joe Medjuck/Tom Pollock/Jason Reitman/Ivan Reitman,2009-12-04,Up in the Air,Jason Reitman
640,Thriller,190841600,Susan Sarandon/Tommy Lee Jones,Joel Schumacher,Arnon Milchan,1994-07-22,The Client,Akiva Goldsman
641,Drama,5291200,Aaron Eckhart,Neil LaBute,,1997-08-01,In the Company of Men,Neil LaBute
642,Comedy / Drama,9887700,Laura Linney/Jesse Eisenberg/Anna Paquin,Noah Baumbach,Wes Anderson,2005-10-05,The Squid and the Whale,Noah Baumbach
643,Romantic Thriller,39496400,Pierce Brosnan/Salma Hayek/Woody Harrelson/Don Cheadle/Naomie Harris,Brett Ratner,Beau Flynn/Jay Stern/Tripp Vinson,2004-11-12,After the Sunset,Craig Rosenberg
644,Fantasy,143540500,Noah Ringer/Dev Patel/Jackson Rathbone,M. Night Shyamalan,Scott Aversano/Sam Mercer/M. Night Shyamalan/Frank Marshall/Kathleen Kennedy,2010-07-01,The Last Airbender,M. Night Shyamalan
645,Thriller,14628000,Nicolas Cage,Vic Armstrong,,2014-10-03,Left Behind,
646,Animation,28322500,Leonard Nimoy/Macaulay Culkin,Joe Johnston,,1994-11-23,The Pagemaster,
647,Comedy,11916600,Brendan Fraser/Adam Sandler/Chris Farley,Michael Lehman,Robert Simonds,1994-08-05,Airheads,
648,Romance,607200,Olga Kurylenko/Rachel McAdams/Javier Bardem/Ben Affleck,Terrence Malick,,2013-04-12,To The Wonder,Terrence Malick
649,Comedy / Drama,110887100,Sandra Bullock/Gena Rowlands,Forest Whitaker,Lynda Obst,1998-05-29,Hope Floats,Steven Rogers
650,Historical Drama,148927000,Colin Firth/Geoffrey Rush/Helena Bonham Carter/Guy Pearce,Tom Hooper,Iain Canning/Geoffrey Rush/Gareth Unwin,2010-11-26,The King's Speech,David Seidler
651,Horror,101423900,Laura Linney/Tom Wilkinson,Scott Derrickson,Paul Harris Boardman/Beau Flynn/Gary Lucchesi/Tom Rosenberg/Tripp Vinson/Julie Yorn,2005-09-09,The Exorcism of Emily Rose,Paul Harris Boardman/Scott Derrickson
652,Thriller,64553700,Mark Ruffalo/Woody Harrelson/Jesse Eisenberg/Dave Franco/Morgan Freeman/Michael Caine/Daniel Radcliffe,Jon Chu,Alex Kurtzman/Roberto Orci,2016-06-10,Now You See Me 2,
653,Comedy,18233400,James Gandolfini/Toni Collette,Nicole Holofcener,,2013-09-18,Enough Said,Nicole Holofcener
654,Period Adventure,172913500,Antonio Banderas/Anthony Hopkins/Catherine Zeta-Jones,Martin Campbell,Steven Spielberg,1998-07-17,The Mask of Zorro,Ted Elliott/Terry Rossio
655,Comedy,13590000,Omar Sy/Bradley Cooper/Alicia Vikander/Emma Thompson,John Wells,Michael Shamberg/Stacey Sher,2015-10-30,Burnt,Steven Knight
656,Thriller,44298400,Logan Lerman/Jim Carrey/Virginia Madsen,Joel Schumacher,Mike Drake/Beau Flynn/Tripp Vinson,2007-02-23,The Number 23,
657,Drama,13733500,Brendan Fraser/Harrison Ford/Jared Harris,Tom Vaughan,Michael Shamberg/Stacey Sher,2010-01-22,Extraordinary Measures,
658,Comedy,351241600,Mike Myers/Rob Lowe/Seth Green,Jay Roach,Michael De Luca/Erwin Stoff,1999-06-11,Austin Powers: The Spy Who Shagged Me,
659,Comedy,40706900,Dustin Hoffman,Stephen Frears,Laura Ziskin,1992-10-02,Hero,Alvin Sargent*
660,Fantasy,69279700,Julia Roberts/Lily Collins/Armie Hammer/Sean Bean,Tarsem,Bernie Goldmann/Ryan Kavanaugh/Kevin Misher/Brett Ratner/Tucker Tooley,2012-03-30,Mirror Mirror,Jason Keller/Melisa Wallack
661,Action Comedy,258824400,Chris Tucker/Jackie Chan/Tom Wilkinson,Brett Ratner,Roger Birnbaum/Jonathan Glickman/Arthur M. Sarkissian/Jay Stern,1998-09-18,Rush Hour,
662,Comedy / Drama,20097400,Eddie Murphy/Clark Duke,Brian Robbins,Steve Koren/Brian Robbins,2012-03-09,A Thousand Words,Steve Koren
663,Historical Drama,21716400,Kevin Bacon/Rebecca Hall/Frank Langella/Sam Rockwell/Michael Sheen,Ron Howard,Tim Bevan/Eric Fellner/Brian Grazer/Ron Howard/Peter Morgan,2008-12-05,Frost/Nixon,Peter Morgan
664,Fantasy,532920300,Andy Serkis/Ian McKellen/Elijah Wood/Viggo Mortensen/Liv Tyler/Orlando Bloom/Ian Holm/Cate Blanchett/Karl Urban,Peter Jackson,Peter Jackson/Fran Walsh,2003-12-17,The Lord of the Rings: The Return of the King,Philippa Boyens
665,Comedy / Drama,30548800,Holly Hunter/Gena Rowlands,Lasse Hallstrom,,1991-01-18,Once Around,
666,Comedy / Drama,108595700,Tom Hanks/Catherine Zeta-Jones/Stanley Tucci,Steven Spielberg,Jason Hoffs/Steven Spielberg/Patricia Whitcher,2004-06-18,The Terminal,Sacha Gervasi/Jeff Nathanson/Andrew Niccol*
667,Drama / Thriller,8843500,Ashley Judd,William Friedkin,,2007-05-25,Bug,Tracy Letts/Matt Manfredi
668,Drama,2846200,Mark Ruffalo/Peter Krause/Naomi Watts,John Curran,,2004-08-13,We Don't Live Here Anymore,
669,Comedy,27979600,Scarlett Johansson/Penelope Cruz/Rebecca Hall/Javier Bardem/Chris Messina,Woody Allen,,2008-08-15,Vicky Cristina Barcelona,Woody Allen
670,Thriller,113088700,Angelina Jolie/Queen Latifah/Denzel Washington,Phillip Noyce,,1999-11-05,The Bone Collector,
671,Sci-Fi,227426400,Sean Bean/Jessica Chastain/Matt Damon/Chiwetel Ejiofor/Sebastian Stan/Kristen Wiig,Ridley Scott,Simon Kinberg/Ridley Scott,2015-10-02,The Martian,Drew Goddard
672,Thriller,100395600,Al Pacino/Robin Williams/Hilary Swank/Martin Donovan,Christopher Nolan,Broderick Johnson/Andrew A. Kosove/Steven Soderbergh/Emma Thomas,2002-05-24,Insomnia,
673,Drama,8600900,Ethan Hawke/Julie Delpy,Richard Linklater,Richard Linklater/John Sloss,2013-05-24,Before Midnight,Julie Delpy/Ethan Hawke/Richard Linklater
674,Comedy,118027400,Jim Carrey/Matthew Broderick/Leslie Mann,Ben Stiller,Judd Apatow/Brad Grey,1996-06-14,The Cable Guy,
675,Drama / Thriller,41495500,Amanda Seyfried/Gary Oldman/Billy Burke/Lukas Haas/Virginia Madsen/Shiloh Fernandez/Max Irons,Catherine Hardwicke,Leonardo DiCaprio/Catherine Hardwicke/Julie Yorn,2011-03-11,Red Riding Hood,David Leslie Johnson
676,Music Drama,50661800,Liv Tyler/Tom Hanks,Tom Hanks,Gary Goetzman,1996-10-04,That Thing You Do!,
677,Animation,109226500,,Kelly Asbury,Jeffrey Katzenberg/Mireille Soria,2002-05-24,Spirit: Stallion of the Cimarron,John Fusco
678,Comedy,72433500,Sacha Baron Cohen,Larry Charles,Sacha Baron Cohen,2009-07-10,Bruno,Peter Baynham/Sacha Baron Cohen/Jeff Schaffer
679,Comedy,7240700,Simon Pegg/Thandie Newton,David Schwimmer,,2008-03-28,Run Fat Boy Run,
680,Drama / Thriller,52589000,Anthony Hopkins/Alec Baldwin,Lee Tamahori,,1997-09-26,The Edge,David Mamet
681,War Drama,28435900,Bruce Willis/Colin Farrell/Terrence Howard,Gregory Hoblit,,2002-02-15,Hart's War,Billy Ray
682,Musical,161711000,Hugh Jackman/Russell Crowe/Anne Hathaway/Amanda Seyfried/Sacha Baron Cohen/Helena Bonham Carter/Eddie Redmayne,Tom Hooper,Tim Bevan/Eric Fellner,2012-12-25,Les Miserables,William Nicholson
683,Foreign,317900,Monica Bellucci,Gabriele Muccino,,2004-09-03,"Remember Me, My Love",
684,Comedy,176469200,Adam Sandler/Kevin James/Chris Rock/Rob Schneider/David Spade/Salma Hayek/Maria Bello,Dennis Dugan,Jack Giarraputo/Tim Herlihy/Steve Koren/Adam Sandler,2010-06-25,Grown Ups,Adam Sandler/Fred Wolf
685,Animation,23570100,Seth Green/Dan Fogler,Simon Wells,Robert Zemeckis,2011-03-11,Mars Needs Moms,Simon Wells
686,Comedy,165392700,Jason Sudeikis/Jennifer Aniston/Ed Helms/Emma Roberts,Rawson Marshall Thurber,Chris Bender/J.C. Spink/Tucker Tooley,2013-08-07,We're the Millers,
687,Sports Drama,30482400,Mickey Rourke/Marisa Tomei,Darren Aronofsky,,2008-12-17,The Wrestler,Robert D. Siegel
688,War Drama,11551000,Angelina Jolie,Michael Winterbottom,Dede Gardner/Brad Pitt,2007-06-22,A Mighty Heart,John Orloff
689,Fantasy,34927400,Hugh Jackman/Garrett Hedlund/Amanda Seyfried/Rooney Mara,Joe Wright,Greg Berlanti,2015-10-09,Pan,
690,Action Comedy,44119700,Milla Jovovich,Bruce A. Evans,Raynold Gideon,1992-01-10,Kuffs,Bruce A. Evans/Raynold Gideon
691,Comedy,61225200,Jack Black/Leslie Mann,Jake Kasdan,Scott Aversano/Scott Rudin,2002-01-11,Orange County,Mike White
692,Comedy / Drama,5577500,Chloe Sevigny/Kate Beckinsale,Whit Stillman,John Sloss/Whit Stillman,1998-05-29,The Last Days of Disco,Whit Stillman
693,Sci-Fi,96618600,Robin Williams,Chris Columbus,Laurence Mark,1999-12-17,Bicentennial Man,
694,Drama,17300,James Franco/Danny McBride,James Franco,,2013-10-11,As I Lay Dying,James Franco
695,Action / Adventure,277422300,Christian Bale/Michael Caine/Liam Neeson/Morgan Freeman/Gary Oldman/Katie Holmes/Cillian Murphy,Christopher Nolan,Larry J. Franco/Charles Roven/Emma Thomas,2005-06-15,Batman Begins,David S. Goyer/Christopher Nolan
696,Romance,59116700,Ben Affleck/Gwyneth Paltrow,Don Roos,Steve Golin,2000-11-17,Bounce,Don Roos
697,Action / Adventure,160269800,Shailene Woodley/Theo James/Jai Courtney/Ray Stevenson/Miles Teller/Kate Winslet/Ashley Judd/Ansel Elgort,Neil Burger,Lucy Fisher/Douglas Wick,2014-03-21,Divergent,Evan Daugherty/Vanessa Taylor
698,Drama,125700,Helen Mirren,Kevin Bacon,,1996-12-06,Losing Chase,
699,Drama,96980300,Benedict Cumberbatch/Keira Knightley/Matthew Goode/Mark Strong,Morten Tyldum,Nora Grossman/Graham Moore/Ido Ostrowsky/Teddy Schwarzman,2014-11-28,The Imitation Game,Graham Moore
700,Comedy,4607600,Jason Segel/Ed Helms/Susan Sarandon,Jay Duplass/Mark Duplass,Steven M. Rales/Jason Reitman,2012-03-16,"Jeff, Who Lives at Home",Jay Duplass/Mark Duplass
701,Comedy,3623800,Jemaine Clement,Taika Waititi,,2015-02-13,What We Do in the Shadows,
702,Comedy / Drama,59782500,Tyler Perry/Taraji P. Henson,Tyler Perry,,2009-09-11,Tyler Perry's I Can Do Bad All By Myself,
703,Drama,1157300,Toni Collette/Drew Barrymore/Dominic Cooper,Catherine Hardwicke,,2015-11-06,Miss You Already,
704,Period Comedy,47168400,Emma Thompson/Kate Beckinsale/Denzel Washington/Keanu Reeves/Michael Keaton,Kenneth Branagh,,1993-05-07,Much Ado About Nothing,
705,Western Comedy,86854000,Donnie Yen/Jackie Chan/Owen Wilson/Aaron Johnson,David Dobkin,Gary Barber/Roger Birnbaum/Jonathan Glickman,2003-02-07,Shanghai Knights,Alfred Gough &amp; Miles Millar
706,Comedy,3655200,Jada Pinkett-Smith/Damon Wayans,Spike Lee,Jon Kilik,2000-10-06,Bamboozled,
707,Comedy,28011300,Miles Teller,Jon Lucas/Scott Moore,David Hoberman/Ryan Kavanaugh/Jon Lucas/Scott Moore/Tucker Tooley,2013-03-01,21 and Over,Jon Lucas/Scott Moore
708,Family Comedy,268034300,Justin Long,Tim Hill,Arnon Milchan/Karen Rosenfelt,2007-12-14,Alvin and the Chipmunks,
709,Crime Comedy,8742600,Ben Affleck/Jennifer Lopez/Justin Bartha,Martin Brest,Casey Silver,2003-08-01,Gigli,
710,Family Adventure,198111700,Robin Williams/Kirsten Dunst/Bonnie Hunt,Joe Johnston,Ted Field/Larry J. Franco*/Scott Kroopf,1995-12-15,Jumanji,Jonathan Hensleigh
711,Crime Comedy,501700,William H. Macy/Sam Rockwell/George Clooney,Anthony Russo/Joe Russo,Casey La Scalla*/Hunt Lowry*/Steven Soderbergh,2002-10-04,Welcome to Collinwood,Anthony Russo/Joe Russo
712,Comedy,451700,Kyle Gallner/Paul Rudd,David Wain,,2001-07-27,Wet Hot American Summer,David Wain
713,Drama,2841200,Reese Witherspoon,Philippe Falardeau,Brian Grazer/Ron Howard/Broderick Johnson/Andrew A. Kosove,2014-10-03,The Good Lie,Magaret Nagle
714,Romance,38126400,Val Kilmer,Irwin Winkler,Rob Cowan/Irwin Winkler,1999-01-15,At First Sight,
715,Romance,73564600,Rachel McAdams/Eric Bana/Ron Livingston,Robert Schwentke,Dede Gardner/Brad Pitt/Nick Wechsler,2009-08-14,The Time Traveler's Wife,
716,Action Thriller,22866000,Russell Crowe/Liam Neeson/Elizabeth Banks/Olivia Wilde,Paul Haggis,Paul Haggis,2010-11-19,The Next Three Days,Paul Haggis
717,Drama,510800,Vincent Gallo/Chloe Sevigny,Vincent Gallo,Vincent Gallo,2004-08-27,The Brown Bunny,Vincent Gallo
718,Comedy,110100,Morgan Freeman/Jonah Hill,Brad Silberling,,2006-12-01,10 Items or Less,
719,Music Drama,15973300,Ryan Guzman,Trish Sie,Jennifer Gibgot/Adam Shankman,2014-08-08,Step Up All In,John Swetnam
720,Sci-Fi Action,104859900,Tom Cruise/Emily Blunt/Brendan Gleeson,Doug Liman,Jason Hoffs/Gregory Jacobs/Tom Lassally/Jeffrey Silver/Erwin Stoff,2014-06-06,Edge of Tomorrow,Jez Butterworth/John-Henry Butterworth/Christopher McQuarrie
721,Unknown,162700,Sean Penn/Sarah Polley/Josh Lucas,Kathryn Bigelow,,2002-11-01,The Weight of Water,
722,Comedy,150855600,Thomas Haden Church/Will Ferrell/Mark Wahlberg,Sean Anders,Sean Anders/Riza Aziz/Will Ferrell/Chris Henchy/Joey McFarland/Adam McKay,2015-12-25,Daddy's Home,
723,Comedy,3069700,Steve Coogan,Michael Winterbottom,,2014-08-15,The Trip to Italy,
724,Action,162893900,Paul Giamatti/Ioan Gruffudd/Carla Gugino/Dwayne Johnson,Brad Peyton,Beau Flynn/Tripp Vinson,2015-05-29,San Andreas,Carlton Cuse
725,Action,221142000,Paul Walker/Vin Diesel/Michelle Rodriguez/Jordana Brewster,Rob Cohen,Neal H. Moritz/John Pogue,2001-06-22,The Fast and the Furious,David Ayer
726,Action,22880300,Jason Momoa/Ron Perlman,Marcus Nispel,Randall Emmett/George Furla,2011-08-19,Conan the Barbarian,Thomas Dean Donnelly/Sean Hood/Joshua Oppenheimer
727,Comedy,22600,Frank Grillo/Bruce Willis/Catherine Zeta-Jones/Vince Vaughn/Rebecca Hall,Stephen Frears,Randall Emmett/George Furla,2012-12-07,Lay the Favorite,
728,Musical,131565200,Jamie Foxx/Beyonce Knowles/Eddie Murphy/Danny Glover/Sharon Leal,Bill Condon,Laurence Mark/Patricia Whitcher,2006-12-15,Dreamgirls,Bill Condon
729,Horror,67443400,Ali Larter,David R. Ellis,,2003-01-31,Final Destination 2,
