,Genre,Gross,actors,directors,producers,rel_date,title,writers
563,Comedy,18543200,Alec Baldwin/Roberto Benigni/Penelope Cruz/Jesse Eisenberg/Greta Gerwig/Ellen Page/Woody Allen,Woody Allen,,2012-06-22,To Rome with Love,Woody Allen
564,Thriller,7894900,Sharon Stone,Michael Caton-Jones,,2006-03-31,Basic Instinct 2,
565,Crime Thriller,117027000,Denzel Washington/Clive Owen/Jodie Foster/Willem Dafoe/Chiwetel Ejiofor/Christopher Plummer,Spike Lee,Brian Grazer/Jon Kilik,2006-03-24,Inside Man,
566,Unknown,1001000,,Mike Binder,Judd Apatow*/Jeffrey Silver,1992-09-11,Crossing the Bridge,Mike Binder
567,Music Drama,14519800,Hilary Duff/John Corbett,Sean McNamara,Sean McNamara,2004-10-08,Raise Your Voice,
568,Drama,22056900,Jennifer Lopez,Gregory Nava,,1995-05-05,My Family,
569,Drama,59733300,Chiwetel Ejiofor/Michael Fassbender/Brad Pitt/Benedict Cumberbatch/Paul Dano/Sarah Paulson/Paul Giamatti/Lupita Nyong'o/Michael K. Williams,Steve McQueen (II),Dede Gardner/Jeremy Kleiner/Steve McQueen/Arnon Milchan/Brad Pitt/John Ridley,2013-10-18,12 Years a Slave,John Ridley
570,Sports Comedy,213621600,Adam Sandler/Chris Rock,Peter Segal,Jack Giarraputo/Tim Herlihy/Heather Parry/Adam Sandler,2005-05-27,The Longest Yard,
571,Period Drama,139505900,Leonardo DiCaprio/Cate Blanchett/Kate Beckinsale/Alec Baldwin/Alan Alda,Martin Scorsese,Leonardo DiCaprio/Graham King/Michael Mann,2004-12-17,The Aviator,John Logan
572,Action,59736500,Arnold Schwarzenegger/John Leguizamo,Andrew Davis,,2002-02-08,Collateral Damage,
573,Comedy / Drama,96800,Peter Sarsgaard,Rawson Marshall Thurber,Bruna Papandrea,2009-04-10,The Mysteries of Pittsburgh,Rawson Marshall Thurber
574,Sci-Fi Action,208773700,Aaron Johnson/Elizabeth Olsen/Sally Hawkins/Bryan Cranston,Gareth Edwards,Jon Jashni/Mary Parent/Brian Rogers/Thomas Tull,2014-05-16,Godzilla,Max Borenstein
575,Family Comedy,155609900,Neil Patrick Harris/Anton Yelchin,Raja Gosnell,Jordan Kerner,2011-07-29,The Smurfs,J. David Stem/David N. Weiss
